Index,Name,RF,XGB,ETC,LGB,LCN[XGB]+,LCPN[ETC]+F[XGB],LCPN[RF]+F[XGB],LCPN[XGB]+F[RF]
66,rsctc2010-2,0.4025±0.0869,0.6528±0.0728,0.3277±0.0797,0.6175±0.1618,0.6697±0.0859,0.6528±0.0728,0.6528±0.0728,0.6420±0.1395
67,rsctc2010-3,0.7376±0.0429,0.7973±0.1133,0.7345±0.0352,0.7722±0.1038,0.8447±0.1081,0.8193±0.1145,0.8193±0.1145,0.7196±0.0471
68,rsctc2010-4,0.2790±0.0568,0.3354±0.0975,0.2868±0.0815,0.3124±0.0769,0.3420±0.0461,0.3399±0.0642,0.3336±0.0547,0.3002±0.0818
69,rsctc2010-6,0.4207±0.1091,0.4339±0.1159,0.4063±0.0929,0.5013±0.1151,0.5292±0.1012,0.4630±0.1194,0.4631±0.1174,0.4574±0.1516
70,sdss17,0.9738±0.0011,0.9713±0.0012,0.9678±0.0012,0.9740±0.0013,0.9714±0.0014,0.9712±0.0013,0.9721±0.0011,0.9725±0.0012
71,segment,0.9792±0.0038,0.9846±0.0055,0.9810±0.0056,0.9848±0.0053,0.9840±0.0065,0.9853±0.0057,0.9848±0.0056,0.9796±0.0070
72,shuttle,0.9410±0.0550,0.9676±0.0464,0.9665±0.0285,0.3536±0.0830,0.9826±0.0247,0.9783±0.0254,0.9783±0.0255,0.9824±0.0241
73,soybean,0.2282±0.0251,0.2167±0.0168,0.2263±0.0188,0.2302±0.0227,0.2380±0.0254,0.2345±0.0148,0.2330±0.0190,0.2288±0.0233
74,spectrometer,0.5191±0.0334,0.4581±0.0483,0.5154±0.0538,0.4771±0.0481,0.4618±0.0427,0.4779±0.0436,0.4709±0.0451,0.5045±0.0303
75,students-academic-success,0.6828±0.0168,0.6887±0.0172,0.6860±0.0167,0.6927±0.0140,0.6799±0.0179,0.6865±0.0145,0.6824±0.0155,0.6634±0.0139
76,thyroid-allbp,0.4749±0.0253,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4820±0.0210
77,thyroid-allhyper,0.4776±0.0214,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4749±0.0173
78,thyroid-allhypo,0.4763±0.0254,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4730±0.0219
79,thyroid-allrep,0.4750±0.0261,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4768±0.0194
80,thyroid-dis,0.4768±0.0221,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4837±0.0254
81,tumors-11,0.7975±0.0862,0.8118±0.0698,0.8248±0.0667,0.8652±0.0674,0.8215±0.0881,0.8163±0.0779,0.8188±0.0836,0.8404±0.0453
82,visualizing-livestock,0.3427±0.0622,0.3527±0.0537,0.2073±0.0560,0.3501±0.0448,0.3598±0.0659,0.3459±0.0621,0.3479±0.0500,0.3414±0.0705
83,volcanoes-a2,0.3673±0.0496,0.3520±0.0837,0.3401±0.0532,0.3557±0.0629,0.3439±0.0766,0.3516±0.0755,0.3543±0.0718,0.3636±0.0541
84,volcanoes-a3,0.3084±0.0339,0.3032±0.0366,0.3219±0.0577,0.3051±0.0599,0.2956±0.0353,0.3011±0.0449,0.3178±0.0392,0.2860±0.0358
85,volcanoes-b1,0.2883±0.0156,0.3033±0.0283,0.2804±0.0188,0.3071±0.0190,0.3034±0.0260,0.3005±0.0258,0.3048±0.0292,0.2949±0.0221
86,volcanoes-b3,0.2853±0.0223,0.3174±0.0364,0.2607±0.0213,0.2877±0.0252,0.3069±0.0302,0.2985±0.0457,0.3068±0.0419,0.2841±0.0248
87,volcanoes-b4,0.2801±0.0185,0.2990±0.0217,0.2689±0.0191,0.2885±0.0209,0.2913±0.0252,0.2911±0.0306,0.2970±0.0271,0.2991±0.0310
88,volcanoes-b6,0.2897±0.0206,0.2955±0.0237,0.2754±0.0212,0.2874±0.0194,0.2991±0.0261,0.2874±0.0263,0.2904±0.0249,0.2957±0.0233
89,volcanoes-d1,0.2371±0.0250,0.2404±0.0224,0.2259±0.0198,0.2323±0.0146,0.2500±0.0285,0.2414±0.0320,0.2491±0.0313,0.2490±0.0350
90,volcanoes-d2,0.2367±0.0259,0.2290±0.0213,0.2325±0.0262,0.2264±0.0170,0.2591±0.0196,0.2464±0.0330,0.2443±0.0270,0.2538±0.0172
91,volcanoes-d3,0.2428±0.0191,0.2404±0.0276,0.2283±0.0211,0.2482±0.0290,0.2638±0.0394,0.2559±0.0354,0.2549±0.0317,0.2578±0.0296
92,volcanoes-d4,0.2490±0.0206,0.2549±0.0249,0.2312±0.0230,0.2512±0.0271,0.2654±0.0245,0.2573±0.0205,0.2589±0.0232,0.2666±0.0235
93,volcanoes-e1,0.2759±0.0735,0.2875±0.0548,0.2675±0.0613,0.2807±0.0503,0.2599±0.0554,0.2823±0.0501,0.2902±0.0517,0.2700±0.0748
94,volcanoes-e3,0.2902±0.0742,0.2882±0.0607,0.2750±0.0557,0.3025±0.0754,0.2833±0.0579,0.2891±0.0676,0.2894±0.0676,0.2809±0.0685
95,volcanoes-e5,0.2576±0.0310,0.2814±0.0487,0.2462±0.0335,0.2635±0.0455,0.2771±0.0474,0.2835±0.0422,0.2715±0.0353,0.2770±0.0625
96,walking-activity,0.6142±0.0035,0.6038±0.0026,0.6170±0.0028,0.5418±0.0544,nan±nan,0.6195±0.0027,0.6174±0.0027,0.6166±0.0043
97,wine-quality-red,0.3878±0.0369,0.3853±0.0381,0.3823±0.0358,0.3887±0.0382,0.3749±0.0411,0.3809±0.0347,0.3808±0.0349,0.3777±0.0403
98,wine-quality-white,0.4211±0.0116,0.4246±0.0224,0.4237±0.0166,0.4157±0.0204,0.4062±0.0148,0.4266±0.0214,0.4229±0.0197,0.4137±0.0124
99,zoo,0.9032±0.1331,0.8927±0.1416,0.9402±0.0918,0.9141±0.1082,0.8383±0.1755,0.9210±0.0968,0.9233±0.0941,0.9032±0.1331
100,# winners,10,3,14,11,25,17,8,12

